algorithm,distribution,N,U,time_ms,throughput_mkeys_per_s,speedup_vs_std_sort,correct,best_run_index
DialSort-Counting,uniform,10000,256,0.141,70.721,15.790,OK,2
DialSort-Parallel,uniform,10000,256,0.969,10.322,2.305,OK,5
std::sort,uniform,10000,256,2.233,4.479,1.000,OK,1
std::stable_sort,uniform,10000,256,2.799,3.573,0.798,OK,0
DialSort-Counting,skewed,10000,256,0.147,67.889,14.814,OK,5
DialSort-Parallel,skewed,10000,256,0.899,11.117,2.426,OK,1
std::sort,skewed,10000,256,2.182,4.583,1.000,OK,4
std::stable_sort,skewed,10000,256,2.740,3.650,0.796,OK,6
DialSort-Counting,sorted,10000,256,0.152,65.920,9.404,OK,0
DialSort-Parallel,sorted,10000,256,0.852,11.738,1.675,OK,3
std::sort,sorted,10000,256,1.427,7.010,1.000,OK,0
std::stable_sort,sorted,10000,256,1.359,7.359,1.050,OK,6
DialSort-Counting,reverse,10000,256,0.151,66.269,10.412,OK,0
DialSort-Parallel,reverse,10000,256,1.049,9.536,1.498,OK,0
std::sort,reverse,10000,256,1.571,6.365,1.000,OK,4
std::stable_sort,reverse,10000,256,1.500,6.668,1.048,OK,6
DialSort-Counting,uniform,10000,1024,0.171,58.582,15.206,OK,4
DialSort-Parallel,uniform,10000,1024,0.895,11.178,2.901,OK,5
std::sort,uniform,10000,1024,2.596,3.853,1.000,OK,1
std::stable_sort,uniform,10000,1024,3.206,3.119,0.810,OK,5
DialSort-Counting,skewed,10000,1024,0.174,57.571,14.729,OK,4
DialSort-Parallel,skewed,10000,1024,1.163,8.595,2.199,OK,0
std::sort,skewed,10000,1024,2.558,3.909,1.000,OK,6
std::stable_sort,skewed,10000,1024,3.140,3.184,0.815,OK,5
DialSort-Counting,sorted,10000,1024,0.218,45.893,10.131,OK,5
DialSort-Parallel,sorted,10000,1024,1.185,8.441,1.863,OK,5
std::sort,sorted,10000,1024,2.208,4.530,1.000,OK,1
std::stable_sort,sorted,10000,1024,1.880,5.319,1.174,OK,5
DialSort-Counting,reverse,10000,1024,0.328,30.488,5.709,OK,3
DialSort-Parallel,reverse,10000,1024,1.150,8.694,1.628,OK,4
std::sort,reverse,10000,1024,1.872,5.341,1.000,OK,6
std::stable_sort,reverse,10000,1024,1.913,5.228,0.979,OK,0
DialSort-Counting,uniform,10000,65536,0.976,10.248,3.479,OK,1
DialSort-Parallel,uniform,10000,65536,7.200,1.389,0.472,OK,2
std::sort,uniform,10000,65536,3.395,2.945,1.000,OK,2
std::stable_sort,uniform,10000,65536,3.773,2.650,0.900,OK,1
DialSort-Counting,skewed,10000,65536,0.851,11.752,4.808,OK,0
DialSort-Parallel,skewed,10000,65536,7.591,1.317,0.539,OK,6
std::sort,skewed,10000,65536,4.091,2.444,1.000,OK,2
std::stable_sort,skewed,10000,65536,4.325,2.312,0.946,OK,6
DialSort-Counting,sorted,10000,65536,1.424,7.023,1.884,OK,4
